Sector,Subsector,Branch,Subbranch,Class,Description,Economic units,Workers total,Workers hired by the unit ,Fixed salary workers,No fixed salary workers,Workers not hired by the unit,Payments,Expenses,Incomes,Production,Intermediate expenses,Added value,Fixed capital formation,Variation of stocks,Fixed assets,Depreciation
Sector 43 Wholesale trade,Subsector 431,Branch 4311,Subbranch 4311C,,Subbranchs agrupadas por principio de confidencialidad,6,97,48,46,2,49,2.8,221.5,238.5,49.8,31.4,18.5,1.3,1.5,1.8,0.2
Sector 43 Wholesale trade,Subsector 431,Branch 4311,Subbranch 4311C,Class 4311CC,Classs agrupadas por principio de confidencialidad,6,97,48,46,2,49,2.8,221.5,238.5,49.8,31.4,18.5,1.3,1.5,1.8,0.2
Sector 43 Wholesale trade,Subsector 431,Branch 4312,,,"Branch 4312 Comercio al por mayor de bebidas, hielo y tabaco",7,276,261,260,1,15,37.6,182.5,247.5,100.3,35.5,64.8,-0.9,-0.3,21.5,1.7
Sector 43 Wholesale trade,Subsector 431,Branch 4312,Subbranch 43121,,Subbranch 43121 Comercio al por mayor de bebidas y hielo,7,276,261,260,1,15,37.6,182.5,247.5,100.3,35.5,64.8,-0.9,-0.3,21.5,1.7
Sector 43 Wholesale trade,Subsector 431,Branch 4312,Subbranch 43121,Class 431211,Class 431211 Comercio al por mayor de bebidas no alcohólicas y hielo,4,217,215,215,0,2,26.2,68.1,90.9,39.6,17,22.7,0,-0.2,1,0.1
Sector 43 Wholesale trade,Subsector 431,Branch 4312,Subbranch 43121,Class 431213,Class 431213 Comercio al por mayor de cerveza,3,59,46,45,1,13,11.4,114.4,156.6,60.7,18.5,42.1,-0.9,-0.1,20.5,1.6
Sector 43 Wholesale trade,Subsector 434,,,,"Subsector 434 Comercio al por mayor de materias primas agropecuarias y forestales, para la industria, y materiales de desecho",55,249,248,167,81,1,15.9,187.3,223.3,32.9,28.1,4.9,0.8,1.9,599.1,151.4
Sector 43 Wholesale trade,Subsector 434,Branch 4341,,,Branch 4341 Comercio al por mayor de materias primas agropecuarias y forestales,12,21,21,6,15,0,0.3,1.6,2.3,1.1,0.4,0.7,0,0,0.6,0.1
Sector 43 Wholesale trade,Subsector 434,Branch 4341,Subbranch 43411,,Subbranch 43411 Comercio al por mayor de materias primas agropecuarias y forestales,12,21,21,6,15,0,0.3,1.6,2.3,1.1,0.4,0.7,0,0,0.6,0.1
Sector 43 Wholesale trade,Subsector 434,Branch 4341,Subbranch 43411,Class 43411C,Classs agrupadas por principio de confidencialidad,12,21,21,6,15,0,0.3,1.6,2.3,1.1,0.4,0.7,0,0,0.6,0.1
Sector 43 Wholesale trade,Subsector 434,Branch 4342,,,Branch 4342 Comercio al por mayor de materias primas para la industria,35,209,208,154,54,1,15.3,182.7,216.4,30.1,27.6,2.5,0.7,1.9,596.6,151.2
Sector 43 Wholesale trade,Subsector 434,Branch 4342,Subbranch 43421,,"Subbranch 43421 Comercio al por mayor de materiales para la construcción, excepto de madera y metálicos",23,136,135,110,25,1,9.8,134.3,157.5,16.2,25.9,-9.7,0.7,0.1,592.8,150.7
Sector 43 Wholesale trade,Subsector 434,Branch 4342,Subbranch 43421,Class 43421C,Classs agrupadas por principio de confidencialidad,23,136,135,110,25,1,9.8,134.3,157.5,16.2,25.9,-9.7,0.7,0.1,592.8,150.7
Sector 43 Wholesale trade,Subsector 434,Branch 4342,Subbranch 43422,,Subbranch 43422 Comercio al por mayor de otros materiales para la construcción y materias primas para otras industrias,12,73,73,44,29,0,5.5,48.4,58.9,13.9,1.7,12.2,0.1,1.8,3.9,0.5
Sector 43 Wholesale trade,Subsector 434,Branch 4342,Subbranch 43422,Class 434222,Class 434222 Comercio al por mayor de productos químicos para la industria farmacéutica y para otro uso industrial,3,22,22,22,0,0,3.6,42.9,51.8,11.5,0.9,10.6,0,1.7,0.1,0
Sector 43 Wholesale trade,Subsector 434,Branch 4342,Subbranch 43422,Class 434224,Class 434224 Comercio al por mayor de madera para la construcción y la industria,5,36,36,8,28,0,0.5,3.4,3.8,1,0.7,0.4,0,0,3.5,0.5
Sector 43 Wholesale trade,Subsector 434,Branch 4342,Subbranch 43422,Class 43422C,Classs agrupadas por principio de confidencialidad,4,15,15,14,1,0,1.4,2.1,3.2,1.4,0.1,1.3,0.1,0.1,0.2,0
Sector 43 Wholesale trade,Subsector 434,Branch 4343,,,Branch 4343 Comercio al por mayor de materiales de desecho,8,19,19,7,12,0,0.3,3,4.5,1.7,0.1,1.6,0.1,0,1.8,0.1
Sector 43 Wholesale trade,Subsector 434,Branch 4343,Subbranch 43431,,Subbranch 43431 Comercio al por mayor de materiales de desecho,8,19,19,7,12,0,0.3,3,4.5,1.7,0.1,1.6,0.1,0,1.8,0.1
Sector 43 Wholesale trade,Subsector 434,Branch 4343,Subbranch 43431,Class 43431C,Classs agrupadas por principio de confidencialidad,8,19,19,7,12,0,0.3,3,4.5,1.7,0.1,1.6,0.1,0,1.8,0.1
Sector 43 Wholesale trade,Subsector 43C,,,,Subsectores agrupados por principio de confidencialidad,12,31,30,17,13,1,0.8,3.4,4.7,1.8,0.6,1.2,0,-0.1,1.1,0.1
Sector 43 Wholesale trade,Subsector 43C,Branch 43CC,,,Ramas agrupadas por principio de confidencialidad,12,31,30,17,13,1,0.8,3.4,4.7,1.8,0.6,1.2,0,-0.1,1.1,0.1
Sector 43 Wholesale trade,Subsector 43C,Branch 43CC,Subbranch 43CCC,,Subbranchs agrupadas por principio de confidencialidad,12,31,30,17,13,1,0.8,3.4,4.7,1.8,0.6,1.2,0,-0.1,1.1,0.1
Sector 43 Wholesale trade,Subsector 43C,Branch 43CC,Subbranch 43CCC,Class 43CCCC,Classs agrupadas por principio de confidencialidad,12,31,30,17,13,1,0.8,3.4,4.7,1.8,0.6,1.2,0,-0.1,1.1,0.1
Sector 46 Retail commerce,,,,,Sector 46 Retail commerce,2695,6953,6436,2599,3837,517,156.9,3359.2,4147.1,1198.5,362.8,835.7,78.8,41.8,837.5,82.4
Sector 46 Retail commerce,Subsector 461,,,,Subsector 46 Retail commerce,1390,2626,2588,354,2234,38,15.3,489.5,630.6,206.4,55.6,150.8,6.4,5.4,87.7,7.7
Sector 46 Retail commerce,Subsector 461,Branch 4611,,,Branch 4611 Comercio al por menor de abarrotes y alimentos,1268,2395,2359,300,2059,36,13.4,442.8,569.9,186,49.7,136.3,5.6,5.1,77.1,6.9
Sector 46 Retail commerce,Subsector 461,Branch 4611,Subbranch 46111,,"Subbranch 46111 Comercio al por menor en tiendas de abarrotes, ultramarinos y misceláneas",860,1541,1519,77,1442,22,2.5,228.8,283.2,82.4,21.7,60.6,2.5,4.2,47.9,3.9
Sector 46 Retail commerce,Subsector 461,Branch 4611,Subbranch 46111,Class 461110,"Class 461110 Comercio al por menor en tiendas de abarrotes, ultramarinos y misceláneas",860,1541,1519,77,1442,22,2.5,228.8,283.2,82.4,21.7,60.6,2.5,4.2,47.9,3.9
Sector 46 Retail commerce,Subsector 461,Branch 4611,Subbranch 46112,,Subbranch 46112 Comercio al por menor de carnes,144,305,297,79,218,8,3.8,111.6,149.9,52.7,12.8,39.9,2.2,0.5,16.3,1.5
Sector 46 Retail commerce,Subsector 461,Branch 4611,Subbranch 46112,Class 461121,Class 461121 Comercio al por menor de carnes rojas,110,243,235,59,176,8,2.9,88.9,114.8,38.2,11.2,26.9,1.7,0.2,12.3,1.1
Sector 46 Retail commerce,Subsector 461,Branch 4611,Subbranch 46112,Class 461122,Class 461122 Comercio al por menor de carne de aves,27,46,46,11,35,0,0.5,17.9,28.6,12,1.2,10.9,0.4,0,1,0.1
Sector 46 Retail commerce,Subsector 461,Branch 4611,Subbranch 46112,Class 461123,Class 461123 Comercio al por menor de pescados y mariscos,7,16,16,9,7,0,0.5,4.7,6.6,2.5,0.4,2.1,0.1,0.2,3,0.3
Sector 46 Retail commerce,Subsector 461,Branch 4611,Subbranch 46113,,Subbranch 46113 Comercio al por menor de frutas y verduras frescas,105,215,214,28,186,1,2,62.1,80.1,27,8.5,18.5,0.2,0.3,6.1,0.8
Sector 46 Retail commerce,Subsector 461,Branch 4611,Subbranch 46113,Class 461130,Class 461130 Comercio al por menor de frutas y verduras frescas,105,215,214,28,186,1,2,62.1,80.1,27,8.5,18.5,0.2,0.3,6.1,0.8
Sector 46 Retail commerce,Subsector 461,Branch 4611,Subbranch 46114,,"Subbranch 46114 Comercio al por menor de semillas y granos alimenticios, especias y chiles secos",10,13,13,2,11,0,0.1,1.4,1.6,0.6,0.3,0.3,0,0,0.1,0
Sector 46 Retail commerce,Subsector 461,Branch 4611,Subbranch 46114,Class 461140,"Class 461140 Comercio al por menor de semillas y granos alimenticios, especias y chiles secos",10,13,13,2,11,0,0.1,1.4,1.6,0.6,0.3,0.3,0,0,0.1,0
Sector 46 Retail commerce,Subsector 461,Branch 4611,Subbranch 46115,,"Subbranch 46115 Comercio al por menor de leche, otros productos lácteos y embutidos",12,25,24,1,23,1,0,5.2,7.9,3.2,0.4,2.8,0,0,0.4,0
Sector 46 Retail commerce,Subsector 461,Branch 4611,Subbranch 46115,Class 461150,"Class 461150 Comercio al por menor de leche, otros productos lácteos y embutidos",12,25,24,1,23,1,0,5.2,7.9,3.2,0.4,2.8,0,0,0.4,0
Sector 46 Retail commerce,Subsector 461,Branch 4611,Subbranch 46116,,Subbranch 46116 Comercio al por menor de dulces y materias primas para repostería,85,185,185,67,118,0,3.6,18.8,27.4,11.7,2.9,8.8,0.1,0.1,3.6,0.4
Sector 46 Retail commerce,Subsector 461,Branch 4611,Subbranch 46116,Class 461160,Class 461160 Comercio al por menor de dulces y materias primas para repostería,85,185,185,67,118,0,3.6,18.8,27.4,11.7,2.9,8.8,0.1,0.1,3.6,0.4
Sector 46 Retail commerce,Subsector 461,Branch 4611,Subbranch 46117,,Subbranch 46117 Comercio al por menor de paletas de hielo y helados,15,39,35,12,23,4,0.3,3.6,4.8,2.8,1.1,1.7,0.5,0.1,0.9,0.1
Sector 46 Retail commerce,Subsector 461,Branch 4611,Subbranch 46117,Class 461170,Class 461170 Comercio al por menor de paletas de hielo y helados,15,39,35,12,23,4,0.3,3.6,4.8,2.8,1.1,1.7,0.5,0.1,0.9,0.1
Sector 46 Retail commerce,Subsector 461,Branch 4611,Subbranch 46119,,Subbranch 46119 Comercio al por menor de otros alimentos,37,72,72,34,38,0,1.1,11.4,14.9,5.6,2,3.6,0.1,0,1.9,0.1
Sector 46 Retail commerce,Subsector 461,Branch 4611,Subbranch 46119,Class 461190,Class 461190 Comercio al por menor de otros alimentos,37,72,72,34,38,0,1.1,11.4,14.9,5.6,2,3.6,0.1,0,1.9,0.1
Sector 46 Retail commerce,Subsector 461,Branch 4612,,,"Branch 4612 Comercio al por menor de bebidas, hielo y tabaco",122,231,229,54,175,2,1.9,46.6,60.7,20.4,5.9,14.6,0.8,0.3,10.5,0.8
Sector 46 Retail commerce,Subsector 461,Branch 4612,Subbranch 4612C,,Subbranchs agrupadas por principio de confidencialidad,122,231,229,54,175,2,1.9,46.6,60.7,20.4,5.9,14.6,0.8,0.3,10.5,0.8
Sector 46 Retail commerce,Subsector 461,Branch 4612,Subbranch 4612C,Class 4612CC,Classs agrupadas por principio de confidencialidad,122,231,229,54,175,2,1.9,46.6,60.7,20.4,5.9,14.6,0.8,0.3,10.5,0.8
Sector 46 Retail commerce,Subsector 463,,,,"SubSector 46 Retail commerce3 Comercio al por menor de productos textiles, bisutería, accesorios de vestir y calzado",271,579,556,238,318,23,10.9,167.9,241.2,96,20.8,75.2,7.4,1.3,77.6,3.1
Sector 46 Retail commerce,Subsector 463,Branch 4631,,,"Branch 4631 Comercio al por menor de productos textiles, excepto ropa",19,44,44,20,24,0,1.1,5.3,7.8,3.2,0.9,2.3,0,-0.2,1.1,0.1
Sector 46 Retail commerce,Subsector 463,Branch 4631,Subbranch 46311,,"Subbranch 46311 Comercio al por menor de productos textiles, excepto ropa",19,44,44,20,24,0,1.1,5.3,7.8,3.2,0.9,2.3,0,-0.2,1.1,0.1
Sector 46 Retail commerce,Subsector 463,Branch 4631,Subbranch 46311,Class 463113,Class 463113 Comercio al por menor de artículos de mercería y bonetería,13,20,20,1,19,0,0,0.7,0.9,0.4,0.2,0.2,0,0,0.9,0.1
Sector 46 Retail commerce,Subsector 463,Branch 4631,Subbranch 46311,Class 46311C,Classs agrupadas por principio de confidencialidad,6,24,24,19,5,0,1.1,4.6,6.9,2.8,0.7,2,0,-0.2,0.3,0.1
Sector 46 Retail commerce,Subsector 463,Branch 4632,,,"Branch 4632 Comercio al por menor de ropa, bisutería y accesorios de vestir",206,378,360,124,236,18,4.2,66.3,83.4,34.3,16.3,18,0.8,0.5,11.4,1.4
Sector 46 Retail commerce,Subsector 463,Branch 4632,Subbranch 46321,,"Subbranch 46321 Comercio al por menor de ropa, bisutería y accesorios de vestir",206,378,360,124,236,18,4.2,66.3,83.4,34.3,16.3,18,0.8,0.5,11.4,1.4
Sector 46 Retail commerce,Subsector 463,Branch 4632,Subbranch 46321,Class 463211,"Class 463211 Comercio al por menor de ropa, excepto de bebé y lencería",151,290,281,101,180,9,3.5,51.1,65,27.8,14.1,13.7,0.7,-0.7,9,1.1
Sector 46 Retail commerce,Subsector 463,Branch 4632,Subbranch 46321,Class 463212,Class 463212 Comercio al por menor de ropa de bebé,11,16,16,5,11,0,0.1,1,1.4,0.8,0.3,0.5,0.2,0.1,0.8,0.1
Sector 46 Retail commerce,Subsector 463,Branch 4632,Subbranch 46321,Class 463213,Class 463213 Comercio al por menor de lencería,6,9,9,5,4,0,0.1,0.6,0.9,0.4,0.1,0.3,0,0,0.1,0
Sector 46 Retail commerce,Subsector 463,Branch 4632,Subbranch 46321,Class 463215,Class 463215 Comercio al por menor de bisutería y accesorios de vestir,27,44,35,10,25,9,0.3,12.3,14.4,4.7,1.5,3.2,0,1,0.8,0.1
Sector 46 Retail commerce,Subsector 463,Branch 4632,Subbranch 46321,Class 463216,Class 463216 Comercio al por menor de ropa de cuero y piel y de otros artículos de estos materiales,5,9,9,3,6,0,0.1,0.6,0.7,0.2,0.1,0.1,0,0,0.1,0
Sector 46 Retail commerce,Subsector 463,Branch 4632,Subbranch 46321,Class 46321C,Classs agrupadas por principio de confidencialidad,6,10,10,0,10,0,0,0.8,1,0.4,0.2,0.2,0,0,0.6,0
Sector 46 Retail commerce,Subsector 463,Branch 4633,,,Branch 4633 Comercio al por menor de calzado,46,157,152,94,58,5,5.6,96.2,150.1,58.4,3.5,54.9,6.5,1,65.1,1.6
Sector 46 Retail commerce,Subsector 463,Branch 4633,Subbranch 46331,,Subbranch 46331 Comercio al por menor de calzado,46,157,152,94,58,5,5.6,96.2,150.1,58.4,3.5,54.9,6.5,1,65.1,1.6
Sector 46 Retail commerce,Subsector 463,Branch 4633,Subbranch 46331,Class 463310,Class 463310 Comercio al por menor de calzado,46,157,152,94,58,5,5.6,96.2,150.1,58.4,3.5,54.9,6.5,1,65.1,1.6
Sector 46 Retail commerce,Subsector 464,,,,SubSector 46 Retail commerce4 Comercio al por menor de artículos para el cuidado de la salud,76,695,681,641,40,14,30.4,239.2,252.1,67.5,54.3,13.2,0.7,0.2,227.9,42.2
Sector 46 Retail commerce,Subsector 464,Branch 4641,,,Branch 4641 Comercio al por menor de artículos para el cuidado de la salud,76,695,681,641,40,14,30.4,239.2,252.1,67.5,54.3,13.2,0.7,0.2,227.9,42.2
Sector 46 Retail commerce,Subsector 464,Branch 4641,Subbranch 46411,,Subbranch 46411 Comercio al por menor de productos farmacéuticos y naturistas,67,671,663,629,34,8,29.9,233.2,244.5,64,52.5,11.4,0.2,0,226.6,42
Sector 46 Retail commerce,Subsector 464,Branch 4641,Subbranch 46411,Class 464111,Class 464111 Farmacias sin minisúper,33,543,543,527,16,0,25.7,169.2,158,35.3,46,-10.6,0,0.6,222.7,41.9
Sector 46 Retail commerce,Subsector 464,Branch 4641,Subbranch 46411,Class 464112,Class 464112 Farmacias con minisúper,15,85,77,76,1,8,3.2,56,75.6,23.9,4.7,19.3,0,-0.4,2.9,0.1
Sector 46 Retail commerce,Subsector 464,Branch 4641,Subbranch 46411,Class 464113,"Class 464113 Comercio al por menor de productos naturistas, medicamentos homeopáticos y de complementos alimenticios",19,43,43,26,17,0,1,8,10.9,4.7,1.9,2.8,0.2,-0.2,1,0.1
Sector 46 Retail commerce,Subsector 464,Branch 4641,Subbranch 46412,,Subbranch 46412 Comercio al por menor de lentes y artículos ortopédicos,9,24,18,12,6,6,0.5,6.1,7.5,3.5,1.7,1.7,0.5,0.2,1.3,0.2
Sector 46 Retail commerce,Subsector 464,Branch 4641,Subbranch 46412,Class 46412C,Classs agrupadas por principio de confidencialidad,9,24,18,12,6,6,0.5,6.1,7.5,3.5,1.7,1.7,0.5,0.2,1.3,0.2
Sector 46 Retail commerce,Subsector 465,,,,"SubSector 46 Retail commerce5 Comercio al por menor de artículos de papelería, para el esparcimiento y otros artículos de uso personal",539,968,949,161,788,19,7.7,94.4,125.3,51.6,18.1,33.5,2,1,37,3.1
Sector 46 Retail commerce,Subsector 465,Branch 4651,,,Branch 4651 Comercio al por menor de artículos de perfumería y joyería,36,75,72,20,52,3,0.9,15.3,22,10.4,3,7.4,0.4,0.4,1.3,0.2
Sector 46 Retail commerce,Subsector 465,Branch 4651,Subbranch 46511,,Subbranch 46511 Comercio al por menor de artículos de perfumería y joyería,36,75,72,20,52,3,0.9,15.3,22,10.4,3,7.4,0.4,0.4,1.3,0.2
Sector 46 Retail commerce,Subsector 465,Branch 4651,Subbranch 46511,Class 465111,Class 465111 Comercio al por menor de artículos de perfumería y cosméticos,17,34,33,11,22,1,0.7,7.2,12.6,6.3,1.7,4.7,0.1,-0.8,0.8,0.1
Sector 46 Retail commerce,Subsector 465,Branch 4651,Subbranch 46511,Class 465112,Class 465112 Comercio al por menor de artículos de joyería y relojes,19,41,39,9,30,2,0.3,8.1,9.4,4.1,1.4,2.7,0.2,1.2,0.5,0.1
Sector 46 Retail commerce,Subsector 465,Branch 4652,,,Branch 4652 Comercio al por menor de artículos para el esparcimiento,46,82,77,14,63,5,0.5,9.1,11.8,5.1,2.4,2.7,0,0,3.4,0.3
Sector 46 Retail commerce,Subsector 465,Branch 4652,Subbranch 46521,,Subbranch 46521 Comercio al por menor de artículos para el esparcimiento,46,82,77,14,63,5,0.5,9.1,11.8,5.1,2.4,2.7,0,0,3.4,0.3
Sector 46 Retail commerce,Subsector 465,Branch 4652,Subbranch 46521,Class 465211,Class 465211 Comercio al por menor de discos y casetes,19,35,33,1,32,2,0,1.8,2.5,1.3,0.6,0.8,0,0,0.5,0
Sector 46 Retail commerce,Subsector 465,Branch 4652,Subbranch 46521,Class 465212,Class 465212 Comercio al por menor de juguetes,12,17,17,1,16,0,0,1.2,1.5,0.6,0.3,0.3,0,0,1,0.1
Sector 46 Retail commerce,Subsector 465,Branch 4652,Subbranch 46521,Class 465215,Class 465215 Comercio al por menor de artículos y aparatos deportivos,10,18,17,11,6,1,0.4,4.3,5.4,2.3,1.2,1.1,0,0,0.5,0.1
Sector 46 Retail commerce,Subsector 465,Branch 4652,Subbranch 46521,Class 46521C,Classs agrupadas por principio de confidencialidad,5,12,10,1,9,2,0,1.9,2.4,0.9,0.4,0.5,0,0,1.4,0.2
Sector 46 Retail commerce,Subsector 465,Branch 4653,,,"Branch 4653 Comercio al por menor de artículos de papelería, libros, revistas y periódicos",163,302,296,57,239,6,2.9,29.6,40.7,17,4.7,12.3,1.1,0.3,12.5,1.3
Sector 46 Retail commerce,Subsector 465,Branch 4653,Subbranch 46531,,"Subbranch 46531 Comercio al por menor de artículos de papelería, libros, revistas y periódicos",163,302,296,57,239,6,2.9,29.6,40.7,17,4.7,12.3,1.1,0.3,12.5,1.3
Sector 46 Retail commerce,Subsector 465,Branch 4653,Subbranch 46531,Class 465311,Class 465311 Comercio al por menor de artículos de papelería,144,261,258,42,216,3,2,22.9,32.4,14.7,4.1,10.7,1.1,0.3,11.8,1.2
Sector 46 Retail commerce,Subsector 465,Branch 4653,Subbranch 46531,Class 465312,Class 465312 Comercio al por menor de libros,7,20,18,15,3,2,0.9,4.4,5.7,1.9,0.6,1.3,0,-0.1,0.7,0.1
Sector 46 Retail commerce,Subsector 465,Branch 4653,Subbranch 46531,Class 465313,Class 465313 Comercio al por menor de revistas y periódicos,12,21,20,0,20,1,0,2.3,2.6,0.4,0.1,0.3,0,0,0.1,0
Sector 46 Retail commerce,Subsector 465,Branch 4659,,,"Branch 4659 Comercio al por menor de mascotas, regalos, artículos religiosos, desechables, artesanías y otros artículos de uso personal",294,509,504,70,434,5,3.3,40.4,50.8,19.1,8,11.1,0.5,0.4,19.8,1.4
Sector 46 Retail commerce,Subsector 465,Branch 4659,Subbranch 46591,,"Subbranch 46591 Comercio al por menor de mascotas, regalos, artículos religiosos, desechables, artesanías y otros artículos de uso personal",294,509,504,70,434,5,3.3,40.4,50.8,19.1,8,11.1,0.5,0.4,19.8,1.4
Sector 46 Retail commerce,Subsector 465,Branch 4659,Subbranch 46591,Class 465911,Class 465911 Comercio al por menor de mascotas,9,15,15,3,12,0,0.1,2.1,2.5,0.9,0.4,0.5,0,0.1,1.3,0.1
Sector 46 Retail commerce,Subsector 465,Branch 4659,Subbranch 46591,Class 465912,Class 465912 Comercio al por menor de regalos,61,99,99,20,79,0,0.6,8.1,11,5,1.8,3.1,0.1,0.1,1.4,0.1
Sector 46 Retail commerce,Subsector 465,Branch 4659,Subbranch 46591,Class 465914,Class 465914 Comercio al por menor de artículos desechables,10,16,16,0,16,0,0,1.5,2,0.6,0.1,0.5,0,0,0.1,0
Sector 46 Retail commerce,Subsector 465,Branch 4659,Subbranch 46591,Class 465915,Class 465915 Comercio al por menor en tiendas de artesanías,209,371,366,47,319,5,2.6,28.3,34.7,12.4,5.5,6.8,0.3,0.2,16.9,1.1
Sector 46 Retail commerce,Subsector 465,Branch 4659,Subbranch 46591,Class 46591C,Classs agrupadas por principio de confidencialidad,5,8,8,0,8,0,0,0.4,0.5,0.3,0.2,0.1,0,0,0,0
Sector 46 Retail commerce,Subsector 466,,,,"SubSector 46 Retail commerce6 Comercio al por menor de enseres domésticos, computadoras, artículos para la decoración de interiores y artículos usados",133,289,243,91,152,46,4.5,106.8,113.6,30.2,21.9,8.3,1.1,0.9,12.7,1.4
Sector 46 Retail commerce,Subsector 466,Branch 4661,,,Branch 4661 Comercio al por menor de muebles para el hogar y otros enseres domésticos,35,103,75,45,30,28,2.6,79.5,83.2,19,13.2,5.8,0.9,1.5,8.8,0.8
Sector 46 Retail commerce,Subsector 466,Branch 4661,Subbranch 46611,,Subbranch 46611 Comercio al por menor de muebles para el hogar y otros enseres domésticos,35,103,75,45,30,28,2.6,79.5,83.2,19,13.2,5.8,0.9,1.5,8.8,0.8
Sector 46 Retail commerce,Subsector 466,Branch 4661,Subbranch 46611,Class 466111,Class 466111 Comercio al por menor de muebles para el hogar,15,28,25,13,12,3,0.7,13.9,17.4,7.4,3.1,4.3,0.9,0.3,1.5,0.2
Sector 46 Retail commerce,Subsector 466,Branch 4661,Subbranch 46611,Class 466112,Class 466112 Comercio al por menor de electrodomésticos menores y aparatos de línea blanca,10,63,38,32,6,25,1.9,65,65,11.2,10.1,1.2,0,1.2,5.7,0.6
Sector 46 Retail commerce,Subsector 466,Branch 4661,Subbranch 46611,Class 466114,"Class 466114 Comercio al por menor de cristalería, loza y utensilios de cocina",10,12,12,0,12,0,0,0.6,0.8,0.4,0.1,0.3,0,0,1.6,0.1
Sector 46 Retail commerce,Subsector 466,Branch 4662,,,"Branch 4662 Comercio al por menor de mobiliario, equipo y accesorios de cómputo, teléfonos y otros aparatos de comunicación",21,51,37,10,27,14,0.4,17.3,16.8,5,6.3,-1.3,0.1,-0.8,0.7,0.1
Sector 46 Retail commerce,Subsector 466,Branch 4662,Subbranch 46621,,"Subbranch 46621 Comercio al por menor de mobiliario, equipo y accesorios de cómputo, teléfonos y otros aparatos de comunicación",21,51,37,10,27,14,0.4,17.3,16.8,5,6.3,-1.3,0.1,-0.8,0.7,0.1
Sector 46 Retail commerce,Subsector 466,Branch 4662,Subbranch 46621,Class 466211,"Class 466211 Comercio al por menor de mobiliario, equipo y accesorios de cómputo",4,8,8,4,4,0,0.2,1.2,1.6,0.7,0.2,0.5,0.1,0,0.6,0.1
Sector 46 Retail commerce,Subsector 466,Branch 4662,Subbranch 46621,Class 466212,Class 466212 Comercio al por menor de teléfonos y otros aparatos de comunicación,17,43,29,6,23,14,0.2,16.1,15.2,4.3,6,-1.7,0,-0.8,0.2,0
Sector 46 Retail commerce,Subsector 466,Branch 4663,,,Branch 4663 Comercio al por menor de artículos para la decoración de interiores,32,55,55,14,41,0,0.6,5.6,7.3,3,1.3,1.7,0,0.1,1.8,0.3
Sector 46 Retail commerce,Subsector 466,Branch 4663,Subbranch 46631,,Subbranch 46631 Comercio al por menor de artículos para la decoración de interiores,32,55,55,14,41,0,0.6,5.6,7.3,3,1.3,1.7,0,0.1,1.8,0.3
Sector 46 Retail commerce,Subsector 466,Branch 4663,Subbranch 46631,Class 466312,Class 466312 Comercio al por menor de plantas y flores naturales,18,32,32,10,22,0,0.4,3.5,4.4,1.9,0.9,0.9,0,0,1.3,0.2
Sector 46 Retail commerce,Subsector 466,Branch 4663,Subbranch 46631,Class 466319,Class 466319 Comercio al por menor de otros artículos para la decoración de interiores,11,19,19,3,16,0,0.1,1.3,1.7,0.6,0.2,0.4,0,0,0.2,0
Sector 46 Retail commerce,Subsector 466,Branch 4663,Subbranch 46631,Class 46631C,Classs agrupadas por principio de confidencialidad,3,4,4,1,3,0,0,0.8,1.2,0.5,0.2,0.4,0,0,0.2,0
Sector 46 Retail commerce,Subsector 466,Branch 4664,,,Branch 4664 Comercio al por menor de artículos usados,45,80,76,22,54,4,1,4.4,6.4,3.2,1.1,2.1,0.1,0.1,1.4,0.2
Sector 46 Retail commerce,Subsector 466,Branch 4664,Subbranch 46641,,Subbranch 46641 Comercio al por menor de artículos usados,45,80,76,22,54,4,1,4.4,6.4,3.2,1.1,2.1,0.1,0.1,1.4,0.2
Sector 46 Retail commerce,Subsector 466,Branch 4664,Subbranch 46641,Class 466410,Class 466410 Comercio al por menor de artículos usados,45,80,76,22,54,4,1,4.4,6.4,3.2,1.1,2.1,0.1,0.1,1.4,0.2
Sector 46 Retail commerce,Subsector 467,,,,"SubSector 46 Retail commerce7 Comercio al por menor de artículos de ferretería, tlapalería y vidrios",148,389,378,173,205,11,8.8,81.3,109.8,39.9,10.7,29.2,4.6,0.4,22.9,2.8
Sector 46 Retail commerce,Subsector 467,Branch 4671,,,"Branch 4671 Comercio al por menor de artículos de ferretería, tlapalería y vidrios",148,389,378,173,205,11,8.8,81.3,109.8,39.9,10.7,29.2,4.6,0.4,22.9,2.8
Sector 46 Retail commerce,Subsector 467,Branch 4671,Subbranch 46711,,"Subbranch 46711 Comercio al por menor de artículos de ferretería, tlapalería y vidrios",148,389,378,173,205,11,8.8,81.3,109.8,39.9,10.7,29.2,4.6,0.4,22.9,2.8
Sector 46 Retail commerce,Subsector 467,Branch 4671,Subbranch 46711,Class 467111,Class 467111 Comercio al por menor en ferreterías y tlapalerías,74,181,176,64,112,5,2.8,30,42,16,3.7,12.2,4.2,0.1,13.4,1.5
Sector 46 Retail commerce,Subsector 467,Branch 4671,Subbranch 46711,Class 467112,Class 467112 Comercio al por menor de pisos y recubrimientos cerámicos,6,30,30,25,5,0,1.6,23.2,29.5,8.7,2.3,6.4,0.2,0.1,1.1,0.2
Sector 46 Retail commerce,Subsector 467,Branch 4671,Subbranch 46711,Class 467113,Class 467113 Comercio al por menor de pintura,20,43,41,18,23,2,1,13.3,18,6.8,1.9,4.9,0.1,0.2,2.9,0.3
